DEPTH,AC,CAL,CNL,DEN,GR,RT,RXO,SP
240.0,77.182,8.983,30.492,2.371,63.287,2.0,2.0,
240.125,77.231,8.98,29.637,2.352,62.934,2.0,2.0,
240.25,77.855,8.975,27.818,2.332,58.785,2.0,2.0,
240.375,78.075,8.975,26.756,2.327,53.928,2.0,2.0,
240.5,77.513,8.981,26.489,2.338,48.148,2.0,2.0,
240.625,77.196,8.985,27.484,2.349,48.302,2.0,2.0,
240.75,77.412,8.987,29.07,2.356,49.705,2.0,2.0,
240.875,79.354,8.985,32.317,2.348,53.389,2.0,2.0,
241.0,81.562,8.982,34.89,2.33,56.96,2.0,2.0,
241.125,84.074,8.981,36.74,2.306,61.831,2.0,2.0,
241.25,86.682,8.979,37.253,2.279,69.054,2.0,2.0,
241.375,86.981,8.976,36.253,2.27,73.109,2.0,2.0,
241.5,84.972,8.975,34.985,2.277,77.32,2.0,2.0,
241.625,83.27,8.977,34.568,2.293,77.71,2.0,2.0,
241.75,81.082,8.979,32.856,2.32,76.745,2.0,2.0,
241.875,79.143,8.979,30.655,2.346,75.021,2.0,2.0,
242.0,78.084,8.979,29.818,2.36,73.597,2.0,2.0,
242.125,76.973,8.979,31.493,2.385,73.088,2.0,2.0,
242.25,76.542,8.98,32.92,2.399,73.296,2.0,2.0,
242.375,76.141,8.98,33.423,2.408,72.778,2.0,2.0,
242.5,75.749,8.983,31.409,2.403,69.557,2.0,2.0,
242.625,75.862,8.985,29.865,2.39,68.158,2.0,2.0,
242.75,76.206,8.987,28.964,2.375,68.904,2.0,2.0,
242.875,76.573,8.986,29.229,2.367,71.271,2.0,2.0,
243.0,76.893,8.984,30.233,2.369,73.289,2.0,2.0,
243.125,77.931,8.984,31.672,2.378,75.195,2.0,2.0,
243.25,78.619,8.988,31.993,2.386,75.388,2.0,2.0,
243.375,79.642,8.992,33.049,2.401,75.581,2.0,2.0,
243.5,80.405,8.993,34.569,2.406,75.748,2.0,2.0,
243.625,80.911,8.99,35.593,2.399,75.587,2.0,2.0,
243.75,80.957,8.984,34.639,2.38,75.265,2.0,2.0,
243.875,80.618,8.981,32.416,2.367,75.278,2.0,2.0,
244.0,80.473,8.978,30.325,2.354,75.35,2.0,2.0,
244.125,81.501,8.974,29.628,2.328,74.576,2.0,2.0,
244.25,82.505,8.972,31.085,2.316,73.601,2.0,2.0,
244.375,84.152,8.971,34.855,2.301,72.848,2.0,2.0,
244.5,85.092,8.971,37.451,2.287,72.748,2.0,2.0,
