FREQ NFREQ=66 ORDER=DEC,ZROT,ZXXR ROT=ZROT,ZXXI ROT=ZROT,ZXX.VAR ROT=ZROT,ZXYR ROT=ZROT,ZXYI ROT=ZROT,ZXY.VAR ROT=ZROT,ZYXR ROT=ZROT,ZYXI ROT=ZROT,ZYX.VAR ROT=ZROT,ZYYR ROT=ZROT,ZYYI ROT=ZROT,ZYY.VAR ROT=ZROT,RHOXY ROT=NONE,RHOXY.ERR ROT=NONE,PHSXY ROT=NONE,PHSXY.ERR ROT=NONE,RHOYX ROT=NONE,RHOYX.ERR ROT=NONE,PHSYX ROT=NONE,PHSYX.ERR ROT=NONE,TXR.EXP ROT=ZROT,TXI.EXP ROT=ZROT,TXVAR.EXP ROT=ZROT,TYR.EXP ROT=ZROT,TYI.EXP ROT=ZROT,TYVAR.EXP ROT=ZROT
1040.62,0.0,-1.72571,2.46734,14.2185,-6.61757,2.26648,14.3902,12.8822,-6.15034,27.6223,4.7804,-2.33248,27.9558,0.0094038,0.471047,161.094,32.8412,0.0391647,0.31979,-25.5211,21.6029,0.0158931,0.00317981,0.000576186,-0.0141714,0.00240534,0.000583144
834.375,0.0,-0.747388,2.89646,0.483747,-4.67449,4.96831,0.493972,10.3539,-11.6215,1.01552,3.62186,-1.41417,1.03699,0.0111544,0.0894903,133.255,5.91365,0.0580702,0.0562363,-48.3013,3.71218,0.00708618,-0.00102209,5.54357e-05,0.00345042,-0.00320031,5.66075e-05
656.25,0.0,2.59457,5.27541,0.306406,-0.75578,13.6255,0.312594,-2.40293,-32.4032,0.618987,4.58304,-6.82671,0.631489,0.0567543,0.0355865,93.1748,2.34809,0.321749,0.0210318,-94.2411,1.38748,0.0249842,-0.011955,4.09191e-05,0.00708645,-0.00367785,4.17455e-05
515.625,0.0,10.5126,9.00599,0.621794,20.1647,36.7425,0.665607,-51.8018,-68.6841,1.19982,0.940421,-20.7068,1.28436,0.681359,0.0169077,61.2415,1.11537,2.87066,0.0110593,-127.024,0.729541,0.0489961,-0.0256426,4.0816e-05,0.0109236,0.0200507,4.36919e-05
412.5,0.0,18.552,9.98072,1.07357,68.9898,77.8412,1.2345,-133.451,-115.398,1.84332,2.72367,-35.6216,2.11963,5.2455,0.00927831,48.4498,0.612048,15.0914,0.00668427,-139.149,0.440927,0.0974734,-0.0405401,3.14054e-05,0.00944203,0.0587088,3.61129e-05
328.125,0.0,13.1257,13.1411,1.27004,130.118,131.927,1.59171,-202.988,-165.77,1.8284,14.7613,-36.3757,2.2915,20.9283,0.00591392,45.3957,0.39011,41.8644,0.00448149,-140.763,0.295619,0.146641,-0.0452639,2.28421e-05,-0.0121633,0.102912,2.86276e-05
262.5,0.0,2.51226,8.38996,1.06545,164.503,172.617,1.39611,-231.07,-189.628,1.43451,33.3621,-34.0705,1.87972,43.3202,0.00430407,46.3786,0.283916,68.0778,0.00348028,-140.626,0.229575,0.179184,-0.0475181,1.71908e-05,-0.0483368,0.144149,2.2526e-05
206.25,0.0,-2.47101,8.42306,0.518501,170.969,180.242,0.838103,-229.647,-191.512,0.694067,49.202,-27.6355,1.12189,59.8475,0.0032008,46.5125,0.211139,86.705,0.00241997,-140.174,0.159632,0.202575,-0.0432028,1.01276e-05,-0.0931413,0.172821,1.63702e-05
159.375,0.0,-4.30539,7.12486,0.351947,166.229,177.029,0.657663,-214.221,-182.895,0.485019,61.427,-22.7065,0.906328,74.0035,0.00290065,46.8021,0.191339,99.5655,0.00214756,-139.51,0.141662,0.220201,-0.0332066,9.59369e-06,-0.150813,0.187747,1.79272e-05
121.875,0.0,-5.8316,6.02544,0.199881,155.593,163.553,0.396061,-200.144,-169.21,0.277042,70.1238,-17.3279,0.548955,83.6246,0.00242151,46.4287,0.159733,112.722,0.00174438,-139.787,0.115067,0.230517,-0.0249009,9.28027e-06,-0.201977,0.196935,1.83887e-05
