TRACE_SEQUENCE_LINE,TRACE_SEQUENCE_FILE,FieldRecord,TraceNumber,EnergySourcePoint,CDP,CDP_TRACE,TraceIdentificationCode,NSummedTraces,NStackedTraces,DataUse,offset,ReceiverGroupElevation,SourceSurfaceElevation,SourceDepth,ReceiverDatumElevation,SourceDatumElevation,SourceWaterDepth,GroupWaterDepth,ElevationScalar,SourceGroupScalar,SourceX,SourceY,GroupX,GroupY,CoordinateUnits,WeatheringVelocity,SubWeatheringVelocity,SourceUpholeTime,GroupUpholeTime,SourceStaticCorrection,GroupStaticCorrection,TotalStaticApplied,LagTimeA,LagTimeB,DelayRecordingTime,MuteTimeStart,MuteTimeEND,TRACE_SAMPLE_COUNT,TRACE_SAMPLE_INTERVAL,GainType,InstrumentGainConstant,InstrumentInitialGain,Correlated,SweepFrequencyStart,SweepFrequencyEnd,SweepLength,SweepType,SweepTraceTaperLengthStart,SweepTraceTaperLengthEnd,TaperType,AliasFilterFrequency,AliasFilterSlope,NotchFilterFrequency,NotchFilterSlope,LowCutFrequency,HighCutFrequency,LowCutSlope,HighCutSlope,YearDataRecorded,DayOfYear,HourOfDay,MinuteOfHour,SecondOfMinute,TimeBaseCode,TraceWeightingFactor,GeophoneGroupNumberRoll1,GeophoneGroupNumberFirstTraceOrigField,GeophoneGroupNumberLastTraceOrigField,GapSize,OverTravel,CDP_X,CDP_Y,INLINE_3D,CROSSLINE_3D,ShotPoint,ShotPointScalar,TraceValueMeasurementUnit,TransductionConstantMantissa,TransductionConstantPower,TransductionUnit,TraceIdentifier,ScalarTraceHeader,SourceType,SourceEnergyDirectionMantissa,SourceEnergyDirectionExponent,SourceMeasurementMantissa,SourceMeasurementExponent,SourceMeasurementUnit,UnassignedInt1,UnassignedInt2,i,j
1,1,1700,1937,1700,1300,1300,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250556,62268,2250556,62268,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250556,62268,1700,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1700,1937,1700,1301,1301,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250556,62378,2250556,62378,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250556,62378,1700,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,1700,1993,1700,1302,1302,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250556,62488,2250556,62488,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250556,62488,1700,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,4,1700,1994,1700,1303,1303,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250557,62598,2250557,62598,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,62598,1700,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,5,1700,1995,1700,1304,1304,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250557,62708,2250557,62708,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,62708,1700,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,6,1700,1991,1700,1305,1305,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250557,62818,2250557,62818,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,62818,1700,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,7,1700,1992,1700,1306,1306,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250557,62928,2250557,62928,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,62928,1700,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,8,1700,1993,1700,1307,1307,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250557,63038,2250557,63038,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,63038,1700,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,9,1700,1994,1700,1308,1308,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250557,63148,2250557,63148,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,63148,1700,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
10,10,1700,1843,1700,1309,1309,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250557,63258,2250557,63258,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,63258,1700,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
11,11,1700,6333,1700,1310,1310,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250557,63368,2250557,63368,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250557,63368,1700,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12,12,1700,1952,1700,1311,1311,1,46,0,0,0,0,0,0,0,0,0,0,1,1,2250558,63478,2250558,63478,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,63478,1700,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
13,13,1700,6334,1700,1312,1312,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250558,63589,2250558,63589,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,63589,1700,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
14,14,1700,6335,1700,1313,1313,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250558,63699,2250558,63699,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,63699,1700,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
15,15,1700,6335,1700,1314,1314,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250558,63809,2250558,63809,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,63809,1700,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,16,1700,94,1700,1315,1315,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250558,63919,2250558,63919,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,63919,1700,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
17,17,1700,1,1700,1316,1316,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250558,64029,2250558,64029,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,64029,1700,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
18,18,1700,1,1700,1317,1317,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250558,64139,2250558,64139,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,64139,1700,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
19,19,1700,94,1700,1318,1318,1,45,0,0,0,0,0,0,0,0,0,0,1,1,2250558,64249,2250558,64249,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250558,64249,1700,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
20,20,1700,94,1700,1319,1319,1,44,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64359,2250559,64359,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64359,1700,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
21,21,1700,94,1700,1320,1320,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64469,2250559,64469,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64469,1700,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
22,22,1700,1851,1700,1321,1321,1,41,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64579,2250559,64579,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64579,1700,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
23,23,1700,1868,1700,1322,1322,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64689,2250559,64689,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64689,1700,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
24,24,1700,191,1700,1323,1323,1,43,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64799,2250559,64799,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64799,1700,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
25,25,1700,191,1700,1324,1324,1,42,0,0,0,0,0,0,0,0,0,0,1,1,2250559,64909,2250559,64909,1,0,0,0,0,0,0,0,1000,0,1000,0,0,751,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250559,64909,1700,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
